  x,y len
  1,1 127
  1,2 92
  1,3 79
  1,4 89
  1,5 103
  1,6 118

  2,1 21
  2,2 23
  2,3 38
  2,4 55
  2,5 73
  2,6 92

  3,1 25
  3,2 27
  3,3 35
  3,4 48
  3,5 62
  3,6 79

  4,1 37
  4,2 35
  4,3 40
  4,4 49
  4,5 61
  4,6 74

  5,1 49
  5,2 45
  5,3 48
  5,4 54
  5,5 63
  5,6 75

  6,1 60
  6,2 56
  6,3 57
  6,4 62
  6,5 69
  6,6 78

  7,1 72
  7,2 68
  7,3 67
  7,4 70
  7,5 76
  7,6 84

  8,1 84
  8,2 79
  8,3 78
  8,4 80
  8,5 84
  8,6 91

  9,1 96
  9,2 91
  9,3 89
  9,4 90
  9,5 94
  9,6 99
